date,close,change,rsi,up,down
2015-03-18,2.75,-0.02,27.614807309701234,0.0,0.0
2015-03-19,2.74,-0.01,25.77484229497624,0.0,0.0
2015-03-20,2.8,0.06,24.829482417779474,0.0,0.0
2015-03-23,2.84,0.04,39.93583983126946,0.0,0.0
2015-03-24,2.79,-0.05,47.91131069330003,0.0,0.0
2015-03-25,2.63,-0.16,40.27211963497072,0.0,0.0
2015-03-26,2.65,0.02,25.438594798945857,0.0,0.0
2015-03-27,2.72,0.07,29.165812430524184,0.0,0.0
2015-03-30,2.7,-0.02,40.969260254111006,0.0,0.0
2015-03-31,2.68,-0.02,38.8551000128714,0.0,0.0
2015-04-01,2.69,0.01,36.69121669286504,0.0,0.0
2015-04-02,2.69,0.0,38.64378536658567,0.0,0.0
2015-04-06,2.7,0.01,38.64378536658567,0.0,0.0
2015-04-07,2.7,0.0,41.0197125635958,0.0,0.0
2015-04-08,2.71,0.01,41.0197125635958,0.0,0.0
2015-04-09,2.72,0.01,43.85918201685711,0.0,0.0
2015-04-10,2.76,0.04,46.78697401309163,0.0,0.0
2015-04-13,2.78,0.02,57.03096184053391,0.0,0.0
2015-04-14,2.67,-0.11,61.289334692919795,0.0,0.0
2015-04-15,2.7,0.03,37.76450509598507,0.0,0.0
2015-04-16,2.87,0.17,44.4145314529251,0.0,0.0
2015-04-17,2.575,-0.295,67.14802920175947,0.0,0.0
2015-04-20,2.49,-0.085,37.07599347309581,0.0,0.0
2015-04-21,2.35,-0.14,32.31093781044453,0.0,0.0
2015-04-22,2.28,-0.07,26.01687154710453,0.0,0.0
2015-04-23,2.33,0.05,23.410942444806707,0.0,0.0
2015-04-24,2.3,-0.03,29.199960875551582,0.0,0.0
2015-04-27,2.34,0.04,27.76110229646922,0.0,0.0
2015-04-28,2.31,-0.03,32.80648252454644,0.0,0.0
2015-04-29,2.28,-0.03,30.953441866975126,0.0,0.0
2015-04-30,2.26,-0.02,29.076465355504936,0.0,0.0
2015-05-01,2.31,0.05,27.792429669820493,0.0,0.0
2015-05-04,2.31,0.0,35.88236307142628,0.0,0.0
2015-05-05,2.28,-0.03,35.88236307142628,0.0,0.0
